,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+
66,Carles Alena,"MF,FW",Getafe,es La Liga,15.2,2,30.0,1.9,68.9,2.0,61.0,22.0,62.0,57.0,8.0,17.0,7.0,24.0,736.0,20.0,18.0,61.0,24.0,1.0,13.0,123.0
67,Runar Alex Runarsson,GK,Arsenal,eng Premier League,0.2,0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Trent Alexander-Arnold,DF,Liverpool,eng Premier League,33.7,2,56.0,2.8,75.3,8.1,208.0,101.0,278.0,123.0,36.0,44.0,49.0,107.0,3259.0,86.0,38.0,216.0,72.0,25.0,8.0,494.0
69,Alfon,MF,Celta Vigo,es La Liga,0.4,0,1.0,0.0,100.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0,1.0,4.0,0.0,0.0,0.0,5.0
70,Mohamed Ali Cho,"FW,MF",Angers,fr Ligue 1,3.9,0,10.0,1.4,63.8,0.1,3.0,3.0,5.0,5.0,8.0,10.0,3.0,13.0,185.0,23.0,5.0,27.0,12.0,2.0,6.0,32.0
71,Ezgjan Alioski,DF,Leeds United,eng Premier League,27.3,2,25.0,1.5,80.1,3.1,82.0,32.0,114.0,57.0,42.0,46.0,36.0,118.0,1929.0,46.0,15.0,139.0,53.0,4.0,43.0,253.0
72,Rachid Alioui,FW,Angers,fr Ligue 1,0.2,0,0.0,0.0,83.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
73,Alisson,GK,Liverpool,eng Premier League,33.0,1,1.0,0.1,85.2,0.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1227.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
74,Saturnin Allagbe,GK,Dijon,fr Ligue 1,12.0,0,0.0,0.0,65.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
75,Allan,MF,Everton,eng Premier League,22.8,0,7.0,0.2,85.8,0.9,91.0,15.0,82.0,38.0,54.0,39.0,23.0,99.0,1283.0,3.0,28.0,96.0,32.0,2.0,6.0,178.0
76,Dele Alli,MF,Tottenham,eng Premier League,6.9,0,12.0,1.4,80.1,0.9,17.0,9.0,27.0,22.0,15.0,13.0,10.0,30.0,437.0,23.0,10.0,33.0,16.0,4.0,10.0,60.0
77,Miguel Almiron,"MF,FW",Newcastle Utd,eng Premier League,27.0,4,33.0,3.2,81.1,2.8,56.0,26.0,65.0,62.0,29.0,36.0,27.0,75.0,1176.0,51.0,36.0,126.0,57.0,11.0,8.0,191.0
78,Marcos Alonso,DF,Chelsea,eng Premier League,10.7,2,22.0,1.7,81.6,1.1,19.0,8.0,49.0,33.0,8.0,22.0,11.0,24.0,729.0,46.0,7.0,63.0,19.0,9.0,27.0,112.0
79,Sergio Alvarez,"MF,DF",Eibar,es La Liga,17.4,0,6.0,0.3,77.8,0.9,51.0,2.0,35.0,13.0,23.0,35.0,13.0,51.0,856.0,17.0,6.0,41.0,12.0,2.0,42.0,76.0
80,Yeray Alvarez,DF,Athletic Club,es La Liga,21.6,1,11.0,0.5,84.4,0.4,57.0,4.0,56.0,12.0,19.0,25.0,39.0,66.0,1288.0,17.0,8.0,52.0,16.0,1.0,76.0,108.0
