Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1323,Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Sampdoria,it Serie A,25-026,1996,3.0,4,1.34,2,0,0,1,0,1,1,0.33,0,0,0,1,0,0,0,Matches
1324,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FWMF,Montpellier,fr Ligue 1,26-333,1994,28.7,70,2.44,50,0,7,7,4,2,16,0.56,10,0,2,3,1,0,0,Matches
1325,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,eng Premier League,29-308,1991,18.0,42,2.33,26,0,3,2,7,4,5,0.28,3,0,0,1,1,0,0,Matches
1326,Tom Lacoux\Tom-Lacoux,fr FRA,MFDF,Bordeaux,fr Ligue 1,19-066,2002,1.9,2,1.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1327,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,20-360,2000,22.1,14,0.63,9,0,0,4,0,1,4,0.18,2,0,0,2,0,0,0,Matches
1328,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,22-068,1999,30.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1329,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,31-147,1989,21.2,7,0.33,5,1,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
1330,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,de Bundesliga,28-217,1992,22.9,44,1.92,33,2,2,1,4,2,3,0.13,1,0,0,0,2,0,0,Matches
1331,Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,es La Liga,20-296,2000,6.3,16,2.54,12,2,2,0,0,0,3,0.48,2,1,0,0,0,0,0,Matches
1332,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,29-180,1991,20.4,52,2.55,33,17,2,0,0,0,5,0.25,4,1,0,0,0,0,0,Matches
1333,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,eng Premier League,32-326,1988,13.2,36,2.73,33,0,0,1,2,0,3,0.23,2,0,0,1,0,0,0,Matches
1334,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,eng Premier League,29-028,1992,6.7,20,3.00,11,3,1,1,2,2,5,0.75,2,1,0,1,0,1,0,Matches
1335,Sam Lammers\Sam-Lammers,nl NED,FWMF,Atalanta,it Serie A,23-336,1997,2.7,8,2.98,7,0,1,0,0,0,1,0.37,0,0,1,0,0,0,0,Matches
1336,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,eng Premier League,20-183,2000,9.8,24,2.44,19,0,1,0,4,0,4,0.41,2,0,0,0,2,0,0,Matches
1337,Loïck Landre\Loick-Landre,fr FRA,DF,Nîmes,fr Ligue 1,28-331,1992,13.1,5,0.38,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1338,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,36-085,1985,2.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1339,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,eng Premier League,28-045,1993,4.5,17,3.75,11,1,1,2,1,1,4,0.88,2,0,0,1,1,0,0,Matches
1340,Gianluca Lapadula\Gianluca-Lapadula,pe PER,FW,Benevento,it Serie A,31-053,1990,20.8,52,2.49,34,0,1,7,7,3,6,0.29,4,0,0,1,1,0,0,Matches
1341,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,26-309,1994,11.4,4,0.35,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1342,Julien Laporte\Julien-Laporte,fr FRA,DF,Lorient,fr Ligue 1,27-148,1993,23.0,16,0.70,13,2,0,0,1,0,2,0.09,1,0,0,0,1,0,0,Matches
1343,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,36-326,1984,26.8,12,0.45,9,1,0,1,1,0,1,0.04,1,0,0,0,0,0,0,Matches
1344,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,24-037,1997,27.0,2,0.07,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1345,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,28-234,1992,12.3,24,1.96,16,0,1,4,2,1,3,0.24,1,0,1,0,0,1,0,Matches
1346,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Hellas Verona,it Serie A,28-234,1992,7.4,16,2.17,12,0,1,1,1,1,1,0.14,0,0,1,0,0,0,0,Matches
1347,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,27-141,1993,17.1,4,0.23,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1348,Paul Lasne\Paul-Lasne,fr FRA,MF,Brest,fr Ligue 1,32-075,1989,18.7,18,0.96,15,1,0,0,1,1,2,0.11,2,0,0,0,0,0,0,Matches
1349,Toni Lato\Toni-Lato,es ESP,DF,Valencia,es La Liga,23-131,1997,5.5,9,1.65,6,2,1,0,0,0,1,0.18,0,0,1,0,0,0,0,Matches
1350,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,31-115,1989,16.8,30,1.79,19,8,1,1,1,0,2,0.12,2,0,0,0,0,0,0,Matches
1351,Armand Lauriente\Armand-Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,22-118,1998,14.9,68,4.58,34,12,12,5,4,1,8,0.54,5,1,1,1,0,0,0,Matches
1352,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,it Serie A,31-295,1989,4.7,3,0.64,2,0,0,0,0,1,2,0.42,2,0,0,0,0,0,0,Matches
1353,Lauti\Lauti,uy URU,MFFW,Celta Vigo,es La Liga,20-051,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1354,Wesley Lautoa\Wesley-Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,33-219,1987,15.0,15,1.00,13,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,Matches
1355,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,de Bundesliga,25-008,1996,8.9,18,2.02,14,2,0,0,1,1,1,0.11,1,0,0,0,0,0,0,Matches
1356,Darko Lazović\Darko-Lazovic,rs SRB,DFMF,Hellas Verona,it Serie A,30-198,1990,17.9,35,1.95,30,2,1,1,1,0,7,0.39,7,0,0,0,0,0,0,Matches
1357,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,27-123,1993,19.4,34,1.75,30,1,0,1,1,1,7,0.36,5,0,0,1,1,0,0,Matches
1358,Jérémy Le Douaron\Jeremy-Le-Douaron,fr FRA,FWMF,Brest,fr Ligue 1,22-345,1998,7.2,12,1.67,9,0,0,1,2,0,4,0.56,3,0,0,0,1,0,0,Matches
1359,Enzo Le Fée\Enzo-Le-Fee,fr FRA,MFFW,Lorient,fr Ligue 1,21-057,2000,14.6,37,2.53,27,3,2,2,3,0,1,0.07,1,0,0,0,0,0,0,Matches
1360,Vincent Le Goff\Vincent-Le-Goff,fr FRA,DF,Lorient,fr Ligue 1,31-168,1989,17.6,32,1.82,25,2,2,1,1,1,0,0.00,0,0,0,0,0,0,0,Matches
1361,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,eng Premier League,31-172,1989,1.4,2,1.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1362,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,24-141,1996,21.6,6,0.28,5,0,0,1,0,0,2,0.09,1,0,0,1,0,0,0,Matches
1363,Damien Le Tallec\Damien-Le-Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,30-347,1990,9.2,6,0.65,5,0,0,1,0,0,3,0.32,2,0,0,1,0,0,0,Matches
1364,James Lea Siliki\James-Lea-Siliki,fr FRA,MF,Rennes,fr Ligue 1,24-293,1996,2.8,7,2.47,5,0,1,1,0,0,1,0.35,1,0,0,0,0,0,0,Matches
1365,Rafael Leão\Rafael-Leao,pt POR,FW,Milan,it Serie A,21-295,1999,16.9,42,2.49,27,0,8,1,5,1,6,0.36,5,0,1,0,0,0,0,Matches
1366,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,35-192,1985,29.9,4,0.13,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1367,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,de Bundesliga,30-056,1991,3.3,7,2.09,6,0,0,0,1,0,1,0.30,1,0,0,0,0,0,0,Matches
1368,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29-340,1991,20.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1369,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,28-047,1993,25.0,3,0.12,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1370,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,27-311,1993,19.0,39,2.05,28,1,3,2,1,4,2,0.11,2,0,0,0,0,0,0,Matches
1371,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,it Serie A,34-082,1987,15.8,20,1.27,18,1,0,0,0,1,1,0.06,1,0,0,0,0,0,0,Matches
1372,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,es La Liga,29-316,1991,24.5,10,0.41,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1373,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,es La Liga,27-332,1993,3.3,9,2.76,7,1,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1374,Thomas Lemar\Thomas-Lemar,fr FRA,MFFW,Atlético Madrid,es La Liga,25-140,1995,13.3,33,2.49,18,12,1,0,2,0,7,0.53,4,2,0,0,1,0,0,Matches
1375,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,eng Premier League,27-212,1993,13.2,19,1.44,12,0,5,1,0,1,1,0.08,0,0,0,0,0,1,0,Matches
1376,Fabien Lemoine\Fabien-Lemoine,fr FRA,MF,Lorient,fr Ligue 1,34-016,1987,14.5,16,1.11,14,1,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
1377,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,25-288,1995,20.1,14,0.70,13,0,0,0,0,1,4,0.20,4,0,0,0,0,0,0,Matches
1378,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,29-028,1992,27.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1379,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,26-191,1994,18.9,33,1.75,29,1,1,1,0,1,5,0.26,4,0,0,0,0,1,0,Matches
1380,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,34-128,1986,8.0,20,2.50,8,8,2,1,1,0,1,0.13,0,1,0,0,0,0,0,Matches
1381,Sergio León\Sergio-Leon,es ESP,FW,Levante,es La Liga,32-085,1989,7.1,15,2.10,8,0,5,0,1,1,2,0.28,2,0,0,0,0,0,0,Matches
1382,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,it Serie A,27-263,1993,12.9,18,1.40,17,0,0,0,1,0,3,0.23,3,0,0,0,0,0,0,Matches
1383,Mehdi Léris\Mehdi-Leris,fr FRA,MFDF,Sampdoria,it Serie A,22-313,1998,2.4,8,3.40,6,1,0,0,0,1,1,0.42,1,0,0,0,0,0,0,Matches
1384,Khanya Leshabela\Khanya-Leshabela,za RSA,MF,Leicester City,eng Premier League,21-195,1999,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1385,Gaetano Letizia\Gaetano-Letizia,it ITA,DF,Benevento,it Serie A,30-276,1990,14.0,25,1.79,18,3,1,1,1,1,0,0.00,0,0,0,0,0,0,0,Matches
1386,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32-223,1988,23.3,63,2.70,45,1,4,8,4,1,14,0.60,9,0,2,1,2,0,0,Matches
1387,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,23-066,1998,20.3,29,1.43,24,3,1,0,1,0,2,0.10,2,0,0,0,0,0,0,Matches
1388,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Metz,fr Ligue 1,23-137,1997,8.4,13,1.55,9,0,3,0,1,0,1,0.12,0,0,1,0,0,0,0,Matches
1389,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,33-047,1988,13.5,47,3.48,20,22,1,0,2,2,3,0.22,1,2,0,0,0,0,0,Matches
1390,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,24-264,1996,25.5,10,0.39,8,1,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
1391,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,21-232,1999,14.2,12,0.85,9,0,0,3,0,0,3,0.21,2,0,0,1,0,0,0,Matches
1392,Isaac Lihadji\Isaac-Lihadji,fr FRA,MFDF,Lille,fr Ligue 1,18-356,2002,2.2,11,5.05,8,2,0,0,0,1,2,0.92,2,0,0,0,0,0,0,Matches
1393,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,de Bundesliga,22-309,1998,4.1,5,1.21,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1394,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,26-258,1994,21.7,8,0.37,8,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
1395,Karol Linetty\Karol-Linetty,pl POL,MF,Torino,it Serie A,26-058,1995,18.8,35,1.86,27,1,4,1,1,1,1,0.05,0,0,0,1,0,0,0,Matches
1396,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,West Ham,eng Premier League,28-107,1992,6.8,27,3.95,15,2,2,4,4,0,5,0.73,1,1,0,2,1,0,0,Matches
1397,Pol Lirola\Pol-Lirola,es ESP,DFFW,Fiorentina,it Serie A,23-231,1997,5.5,10,1.81,8,1,1,0,0,0,1,0.18,1,0,0,0,0,0,0,Matches
1398,Pol Lirola\Pol-Lirola,es ESP,DF,Marseille,fr Ligue 1,23-231,1997,9.3,13,1.40,10,0,1,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
1399,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,eng Premier League,31-138,1989,13.6,8,0.59,7,0,0,1,0,0,1,0.07,1,0,0,0,0,0,0,Matches
1400,Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,eng Premier League,27-228,1993,6.0,5,0.83,4,0,0,1,0,0,1,0.17,1,0,0,0,0,0,0,Matches
1401,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,27-228,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1402,Fernando Llorente\Fernando-Llorente,es ESP,FW,Udinese,it Serie A,36-034,1985,6.3,8,1.28,6,0,0,2,0,0,1,0.16,0,0,0,1,0,0,0,Matches
1403,Fernando Llorente\Fernando-Llorente,es ESP,FWMF,Napoli,it Serie A,36-034,1985,0.6,2,3.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1404,Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,26-061,1995,24.1,53,2.20,39,1,3,3,5,2,11,0.46,8,0,0,0,2,1,0,Matches
1405,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,34-096,1986,29.0,1,0.03,1,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0,Matches
1406,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Tottenham,eng Premier League,24-357,1996,5.6,19,3.39,12,3,0,1,3,0,3,0.54,3,0,0,0,0,0,0,Matches
1407,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,26-127,1994,1.7,1,0.59,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1408,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,23-083,1998,24.0,64,2.67,53,3,1,2,4,1,6,0.25,4,1,0,0,1,0,0,Matches
1409,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,22-358,1998,8.4,15,1.79,7,5,1,0,1,1,1,0.12,1,0,0,0,0,0,0,Matches
1410,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,eng Premier League,25-068,1996,0.7,1,1.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1411,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,eng Premier League,25-068,1996,18.5,46,2.49,27,0,6,3,7,3,0,0.00,0,0,0,0,0,0,0,Matches
1412,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27-247,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1413,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,30-226,1990,7.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1414,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,eng Premier League,34-069,1987,2.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1415,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21-011,2000,4.2,2,0.48,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1416,Sean Longstaff\Sean-Longstaff,eng ENG,MFFW,Newcastle Utd,eng Premier League,23-153,1997,9.3,10,1.07,4,3,1,0,1,1,0,0.00,0,0,0,0,0,0,0,Matches
1417,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,eng Premier League,23-163,1997,25.3,102,4.04,67,22,3,5,4,1,11,0.44,6,3,2,0,0,0,0,Matches
1418,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,30-182,1990,30.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1419,Rony Lopes\Rony-Lopes,pt POR,FWMF,Nice,fr Ligue 1,25-094,1995,14.0,44,3.14,22,13,5,2,0,2,4,0.29,2,0,1,0,0,1,0,Matches
1420,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,es La Liga,37-151,1983,7.4,5,0.67,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0,0,Matches
1421,Adrián López\Adrian-Lopez,es ESP,FW,Osasuna,es La Liga,33-083,1988,4.4,12,2.73,8,0,1,2,1,0,2,0.46,2,0,0,0,0,0,0,Matches
1422,Javi López\Javi-Lopez,es ESP,DFMF,Alavés,es La Liga,19-090,2002,2.1,2,0.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1423,Maxime Lopez\Maxime-Lopez,fr FRA,MF,Sassuolo,it Serie A,23-118,1997,12.8,34,2.65,25,5,3,0,0,1,4,0.31,1,1,2,0,0,0,0,Matches
1424,Maxime Lopez\Maxime-Lopez,fr FRA,FWMF,Marseille,fr Ligue 1,23-118,1997,1.5,4,2.69,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
1425,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,26-109,1994,17.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1426,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,20-342,2000,4.5,11,2.42,5,3,0,3,0,0,1,0.22,0,1,0,0,0,0,0,Matches
1427,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,25-153,1995,11.5,31,2.70,20,8,1,1,1,0,1,0.09,1,0,0,0,0,0,0,Matches
1428,Jordan Lotomba\Jordan-Lotomba,ch SUI,DF,Nice,fr Ligue 1,22-184,1998,19.7,26,1.32,24,0,0,0,1,1,5,0.25,3,0,0,0,1,1,0,Matches
1429,Imran Louza\Imran-Louza,fr FRA,MF,Nantes,fr Ligue 1,21-335,1999,18.6,37,1.99,23,10,0,1,1,2,1,0.05,0,1,0,0,0,0,0,Matches
1430,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,21-046,2000,14.2,9,0.63,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1431,Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,eng Premier League,23-325,1997,6.1,7,1.15,4,1,1,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1432,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,de Bundesliga,24-063,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1433,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,31-296,1989,25.0,33,1.32,29,1,1,0,0,2,1,0.04,1,0,0,0,0,0,0,Matches
1434,Anthony Lozano\Anthony-Lozano,hn HON,FW,Cádiz,es La Liga,27-341,1993,12.0,19,1.58,8,0,2,3,5,1,4,0.33,2,0,1,1,0,0,0,Matches
1435,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,25-245,1995,17.5,64,3.65,39,0,6,3,11,5,8,0.46,4,0,1,1,2,0,0,Matches
1436,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,de Bundesliga,22-010,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1437,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,22-283,1998,1.9,6,3.14,3,0,3,0,0,0,1,0.52,1,0,0,0,0,0,0,Matches
1438,Jean Lucas\Jean-Lucas,br BRA,MF,Brest,fr Ligue 1,22-283,1998,7.0,14,2.01,11,0,0,2,1,0,4,0.57,3,0,0,1,0,0,0,Matches
1439,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,de Bundesliga,23-269,1997,10.9,7,0.64,6,0,0,1,0,0,2,0.18,2,0,0,0,0,0,0,Matches
1440,Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,es La Liga,25-358,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1441,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,de Bundesliga,21-027,2000,5.8,9,1.56,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1442,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,25-311,1995,23.5,49,2.09,45,1,2,1,0,0,9,0.38,8,0,1,0,0,0,0,Matches
1443,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,33-252,1987,20.8,50,2.40,37,6,4,0,3,0,8,0.38,5,0,3,0,0,0,0,Matches
1444,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,31-086,1990,20.6,13,0.63,13,0,0,0,0,0,3,0.15,3,0,0,0,0,0,0,Matches
1445,Florentino Luís\Florentino-Luis,pt POR,MF,Monaco,fr Ligue 1,21-225,1999,2.4,4,1.65,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1446,Luisinho\Luisinho,pt POR,DF,Huesca,es La Liga,35-331,1985,2.0,2,1.01,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1447,Luismi\Luismi,es ESP,MFDF,Elche,es La Liga,28-331,1992,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1448,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,33-344,1987,14.9,7,0.47,5,0,1,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
1449,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,22-327,1998,23.3,38,1.63,35,2,0,1,0,0,4,0.17,4,0,0,0,0,0,0,Matches
1450,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,27-323,1993,22.7,80,3.53,62,0,10,7,1,0,17,0.75,14,0,2,1,0,0,0,Matches
1451,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,23-189,1997,18.6,41,2.21,34,1,4,1,0,1,6,0.32,6,0,0,0,0,0,0,Matches
1452,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,24-231,1996,18.8,44,2.34,33,2,2,1,5,1,3,0.16,1,0,0,0,1,1,0,Matches
1453,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,35-073,1986,2.4,5,2.06,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1454,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,27-042,1994,20.3,37,1.82,30,5,1,0,0,1,3,0.15,2,1,0,0,0,0,0,Matches
1455,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Crotone,it Serie A,24-207,1996,18.2,11,0.60,10,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
1456,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,34-022,1987,22.8,2,0.09,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1457,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,24-059,1997,20.3,13,0.64,13,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
1458,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,27-161,1993,20.5,19,0.93,11,7,0,1,0,0,2,0.10,2,0,0,0,0,0,0,Matches
1459,Yann M'Vila\Yann-MVila,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,30-276,1990,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1460,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,22-098,1998,9.2,22,2.40,20,0,0,1,1,0,2,0.22,2,0,0,0,0,0,0,Matches
1461,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,28-053,1993,16.0,42,2.63,19,4,5,7,6,1,10,0.63,4,1,2,1,1,1,0,Matches
1462,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,de Bundesliga,20-027,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1463,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22-182,1998,6.0,5,0.83,3,1,0,0,0,1,2,0.33,1,1,0,0,0,0,0,Matches
1464,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24-129,1996,18.1,82,4.53,43,20,5,3,7,4,11,0.61,7,1,0,0,2,1,0,Matches
