Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
243,Salim Ben Seghir\Salim-Ben-Seghir,fr FRA,DF,Nice,fr Ligue 1,18-036,2003,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
244,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Monaco,fr Ligue 1,30-232,1990,22.8,64,2.80,44,0,8,7,4,1,10,0.44,7,0,0,2,1,0,0,Matches
245,Ahmad Benali\Ahmad-Benali,ly LBY,MF,Crotone,it Serie A,29-053,1992,7.8,19,2.45,14,3,2,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
246,Samy Benchama\Samy-Benchama,fr FRA,MF,Montpellier,fr Ligue 1,20-280,2000,0.0,1,30.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
247,Lars Bender\Lars-Bender,de GER,DF,Leverkusen,de Bundesliga,31-339,1989,10.4,17,1.64,16,0,1,0,0,0,3,0.29,3,0,0,0,0,0,0,Matches
248,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,31-339,1989,8.1,9,1.12,8,0,0,1,0,0,2,0.25,2,0,0,0,0,0,0,Matches
249,Darío Benedetto\Dario-Benedetto,ar ARG,FW,Marseille,fr Ligue 1,30-319,1990,16.4,28,1.71,18,0,3,2,3,2,7,0.43,5,0,0,0,1,1,0,Matches
250,László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,de Bundesliga,23-204,1997,4.9,13,2.64,7,2,1,0,3,0,0,0.00,0,0,0,0,0,0,0,Matches
251,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,de Bundesliga,23-204,1997,1.7,6,3.60,1,4,0,0,1,0,2,1.20,0,1,0,0,1,0,0,Matches
252,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,28-013,1993,30.0,3,0.10,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
253,Loris Benito\Loris-Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29-084,1992,23.5,23,0.98,18,4,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
254,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,es La Liga,22-009,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
255,Bilal Benkhedim\Bilal-Benkhedim,fr FRA,FW,Saint-Étienne,fr Ligue 1,19-346,2001,0.8,1,1.23,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
256,Djamel Benlamri\Djamel-Benlamri,dz ALG,DF,Lyon,fr Ligue 1,31-097,1989,1.5,2,1.31,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
257,Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,it Serie A,23-121,1997,8.5,18,2.13,11,2,1,2,2,0,5,0.59,4,0,0,0,1,0,0,Matches
258,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,eng Premier League,25-234,1995,11.8,42,3.55,37,0,3,1,1,0,7,0.59,7,0,0,0,0,0,0,Matches
259,Yassine Benrahou\Yassine-Benrahou,fr FRA,MF,Nîmes,fr Ligue 1,22-067,1999,11.5,39,3.38,19,13,2,0,5,0,1,0.09,0,0,0,0,1,0,0,Matches
260,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,25-350,1995,13.9,12,0.86,9,0,2,1,0,0,2,0.14,0,0,1,1,0,0,0,Matches
261,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,eng Premier League,21-117,1999,2.9,1,0.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
262,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,26-128,1994,6.1,4,0.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
263,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,23-300,1997,17.4,49,2.82,38,6,0,0,1,4,11,0.63,9,0,0,0,0,2,0,Matches
264,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,30-119,1990,12.9,23,1.79,20,0,0,1,2,0,3,0.23,2,0,0,0,1,0,0,Matches
265,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,33-103,1987,23.5,67,2.85,51,0,6,8,2,0,14,0.59,11,0,2,1,0,0,0,Matches
266,Yassine Benzia\Yassine-Benzia,dz ALG,FWMF,Dijon,fr Ligue 1,26-205,1994,1.3,6,4.74,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
267,Domenico Berardi\Domenico-Berardi,it ITA,FWMF,Sassuolo,it Serie A,26-243,1994,20.2,100,4.96,68,11,6,7,6,2,11,0.55,7,1,0,1,1,1,0,Matches
268,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,es La Liga,31-050,1990,18.2,43,2.37,36,1,2,0,3,1,7,0.39,6,0,0,0,1,0,0,Matches
269,Álex Berenguer\Alex-Berenguer,es ESP,MF,Torino,it Serie A,25-271,1995,1.5,2,1.37,1,0,1,0,0,0,1,0.69,1,0,0,0,0,0,0,Matches
270,Álex Berenguer\Alex-Berenguer,es ESP,FWMF,Athletic Club,es La Liga,25-271,1995,17.7,57,3.21,36,12,3,1,3,2,9,0.51,4,1,1,0,1,2,0,Matches
