,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Att,Cmp%,Att.1,Att.2,Att.3,xA,1/3_x,PPA,Prog_x,SCA,TklW,Att_def,Tkl%,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Att_pos,Succ%,Prog_y,1/3_y,CPA,Won,Lost,Won%,Live,FK,Press,Sw,Crs,Ground,Low,High,TI,Out.1,Att_aer,Prog+,short_model,medium_model,long_model,live_model,fk_model,sw_model,crs_model,ground_model,low_model,high_model,ti_model,press_model,model_final,diff_pass,Season
20,Martin Agirregabiria,DF,Alaves,es La Liga,16.2,0,4.0,0.1,722.0,70.9,246.0,333.0,124.0,0.9,42.0,18.0,51.0,24.0,22.0,39.0,56.4,27.0,23.0,61.0,890.0,9.0,14.0,19.0,73.7,43.0,16.0,0.0,33.0,36.0,47.8,548.0,7.0,75.0,16.0,37.0,338.0,167.0,217.0,167.0,17,69.0,94.0,34.07202216066482,46.121883656509695,17.174515235457065,75.90027700831025,0.9695290858725761,2.21606648199446,5.124653739612189,46.81440443213297,23.130193905817176,30.05540166204986,23.130193905817176,10.387811634349031,72.3,-1.4,2021
21,Julen Agirrezabala,GK,Athletic Club,es La Liga,4.0,0,0.0,0.0,82.0,74.4,14.0,30.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,95.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,48.0,8.0,3.0,1.0,0.0,48.0,1.0,33.0,0.0,4,0.0,0.0,17.073170731707318,36.58536585365854,45.1219512195122,58.53658536585366,9.75609756097561,1.2195121951219512,0.0,58.53658536585366,1.2195121951219512,40.24390243902439,0.0,3.658536585365854,73.6,0.8,2021
22,Lucien Agoume,MF,Brest,fr Ligue 1,17.7,0,15.0,1.0,836.0,85.6,341.0,318.0,132.0,0.4,56.0,10.0,66.0,28.0,14.0,24.0,58.3,30.0,52.0,102.0,1023.0,31.0,17.0,25.0,68.0,46.0,13.0,3.0,27.0,28.0,49.1,813.0,18.0,141.0,26.0,2.0,626.0,92.0,118.0,0.0,9,55.0,112.0,40.78947368421053,38.038277511961724,15.789473684210526,97.2488038277512,2.15311004784689,3.110047846889952,0.23923444976076555,74.88038277511961,11.004784688995215,14.114832535885167,0.0,16.86602870813397,82.3,3.3,2021
23,Kevin Agudelo,"FW,MF",Spezia,it Serie A,8.3,2,12.0,1.4,232.0,73.3,107.0,91.0,14.0,0.7,12.0,8.0,22.0,23.0,6.0,12.0,50.0,18.0,6.0,32.0,373.0,25.0,20.0,36.0,55.6,43.0,21.0,5.0,12.0,13.0,48.0,226.0,1.0,84.0,3.0,7.0,170.0,34.0,28.0,2.0,8,25.0,65.0,46.12068965517241,39.224137931034484,6.0344827586206895,97.41379310344827,0.43103448275862066,1.293103448275862,3.0172413793103448,73.27586206896552,14.655172413793103,12.068965517241379,0.8620689655172413,36.206896551724135,76.0,-2.7,2021
24,Nayef Aguerd,DF,Rennes,fr Ligue 1,25.8,2,22.0,1.8,1795.0,90.4,413.0,895.0,469.0,0.3,92.0,2.0,68.0,10.0,7.0,17.0,41.2,25.0,46.0,73.0,2050.0,31.0,5.0,6.0,83.3,59.0,5.0,0.0,95.0,37.0,72.0,1737.0,53.0,155.0,85.0,2.0,1499.0,78.0,218.0,5.0,21,132.0,127.0,23.008356545961004,49.860724233983284,26.128133704735376,96.76880222841226,2.9526462395543174,4.735376044568246,0.11142061281337047,83.50974930362116,4.345403899721449,12.144846796657381,0.2785515320334262,8.635097493036211,91.7,-1.3,2021
25,Sergio Aguero,FW,Barcelona,es La Liga,1.7,1,6.0,1.1,43.0,72.1,25.0,15.0,2.0,0.3,2.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,59.0,15.0,1.0,1.0,100.0,7.0,2.0,2.0,4.0,2.0,66.7,41.0,0.0,15.0,0.0,4.0,24.0,9.0,10.0,0.0,0,6.0,9.0,58.13953488372093,34.883720930232556,4.651162790697675,95.34883720930233,0.0,0.0,9.30232558139535,55.81395348837209,20.930232558139537,23.25581395348837,0.0,34.883720930232556,64.6,7.5,2021
26,Ruben Aguilar,DF,Monaco,fr Ligue 1,17.1,0,7.0,0.2,1326.0,85.1,566.0,569.0,156.0,0.5,102.0,24.0,110.0,19.0,36.0,57.0,63.2,24.0,45.0,116.0,1542.0,23.0,8.0,13.0,61.5,124.0,36.0,3.0,28.0,26.0,51.9,1106.0,29.0,114.0,22.0,39.0,873.0,264.0,189.0,190.0,14,54.0,234.0,42.68476621417798,42.91101055806938,11.764705882352942,83.40874811463047,2.1870286576168927,1.6591251885369533,2.9411764705882355,65.83710407239819,19.90950226244344,14.253393665158372,14.328808446455506,8.597285067873303,81.7,3.4,2021
27,Alvaro Aguirre,FW,Rayo Vallecano,es La Liga,0.1,0,0.0,0.0,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,96.9,3.1,2021
28,Naouirou Ahamada,MF,Stuttgart,de Bundesliga,0.7,0,0.0,0.0,34.0,88.2,15.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,,3.0,0.0,0.0,1.0,3.0,25.0,33.0,1.0,7.0,2.0,0.0,29.0,2.0,3.0,0.0,1,4.0,4.0,44.11764705882353,29.41176470588235,20.58823529411765,97.05882352941177,2.9411764705882355,5.882352941176471,0.0,85.29411764705883,5.882352941176471,8.823529411764707,0.0,20.58823529411765,89.8,-1.6,2021
29,Anel Ahmedhodzic,DF,Bordeaux,fr Ligue 1,7.0,0,3.0,0.2,457.0,91.5,149.0,219.0,81.0,0.2,24.0,2.0,34.0,12.0,8.0,16.0,50.0,6.0,20.0,34.0,522.0,9.0,0.0,0.0,,35.0,7.0,3.0,7.0,2.0,77.8,446.0,7.0,40.0,13.0,2.0,375.0,34.0,48.0,4.0,3,9.0,69.0,32.60393873085339,47.921225382932164,17.72428884026258,97.59299781181619,1.5317286652078774,2.8446389496717726,0.437636761487965,82.05689277899343,7.439824945295404,10.50328227571116,0.87527352297593,8.752735229759299,89.0,2.5,2021
