,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+,Season
434,Jose Campana,MF,Levante,es La Liga,35.1,2,44.0,2.5,77.8,5.1,154.0,43.0,217.0,,,,,,,,,,,,,,,,,,,134.0,25.0,51.0,26.0,65.0,2504.0,67.0,53.0,275.0,83.0,18.0,33.0,492.0,2021
435,Xisco Campos,DF,Mallorca,es La Liga,5.3,0,4.0,0.1,77.3,0.1,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,2.0,5.0,10.0,9.0,16.0,264.0,4.0,0.0,5.0,1.0,0.0,17.0,7.0,2021
436,Victor Campuzano,"FW,MF",Espanyol,es La Liga,9.7,0,18.0,1.4,65.6,0.1,10.0,1.0,8.0,,,,,,,,,,,,,,,,,,,16.0,13.0,5.0,1.0,15.0,268.0,35.0,11.0,24.0,9.0,7.0,11.0,32.0,2021
437,Emre Can,"MF,DF",Dortmund,de Bundesliga,10.6,2,16.0,0.9,88.1,0.4,41.0,3.0,41.0,,,,,,,,,,,,,,,,,,,14.0,18.0,16.0,9.0,34.0,862.0,20.0,15.0,50.0,14.0,2.0,14.0,91.0,2021
438,Emre Can,MF,Juventus,it Serie A,3.2,0,7.0,1.3,86.6,0.6,12.0,2.0,10.0,,,,,,,,,,,,,,,,,,,7.0,4.0,9.0,3.0,13.0,204.0,12.0,7.0,22.0,5.0,2.0,2.0,32.0,2021
439,Sergio Canales,"MF,FW",Betis,es La Liga,35.1,6,47.0,4.0,84.0,5.7,142.0,59.0,138.0,,,,,,,,,,,,,,,,,,,138.0,25.0,44.0,8.0,38.0,2529.0,100.0,48.0,247.0,97.0,18.0,6.0,385.0,2021
440,Joao Cancelo,DF,Manchester City,eng Premier League,13.4,0,15.0,0.5,87.9,1.7,98.0,23.0,88.0,,,,,,,,,,,,,,,,,,,44.0,26.0,12.0,16.0,60.0,1295.0,33.0,46.0,146.0,45.0,12.0,22.0,234.0,2021
441,Antonio Candreva,DF,Inter,it Serie A,22.1,5,43.0,2.4,76.8,5.6,65.0,61.0,124.0,,,,,,,,,,,,,,,,,,,78.0,13.0,46.0,14.0,33.0,1568.0,66.0,10.0,153.0,36.0,20.0,3.0,277.0,2021
442,Gianmarco Cangiano,"MF,FW",Bologna,it Serie A,0.2,0,0.0,0.0,75.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,1.0,2.0,16.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2021
443,Todd Cantwell,"FW,MF",Norwich City,eng Premier League,27.7,6,42.0,5.8,79.9,2.8,71.0,21.0,77.0,,,,,,,,,,,,,,,,,,,74.0,29.0,58.0,12.0,61.0,1511.0,91.0,57.0,139.0,46.0,26.0,16.0,216.0,2021
